"filename", "language", "TypeScript", "XML", "JSON", "JSON with Comments", "JavaScript", "Markdown", "TypeScript JSX", "PostCSS", "Java Properties", "Java", "HTML", "Batch", "Makefile", "Python", "toml", "Ini", "YAML", "comment", "blank", "total"
"c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\src\main\resources\application.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 9
"c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\src\test\java\com\example\price_comparator\PriceComparatorApplicationTests.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16
"c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\src\test\java\com\example\price_comparator\config\TestFirebaseConfig.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 6, 34
"c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\src\test\java\com\example\price_comparator\service\AmazonApiServiceTest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 3, 7, 30
"c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\src\test\java\com\example\price_comparator\service\OxylabsShoppingScraperTest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 1, 17, 74
"c:\Users\Kozy\Documents\princecomparison_dom\public\favicon.svg", "XML", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\Kozy\Documents\princecomparison_dom\remoteconfig.template.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Kozy\Documents\princecomparison_dom\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 36
"c:\Users\Kozy\Documents\princecomparison_dom\src\components\AlertCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13, 88
"c:\Users\Kozy\Documents\princecomparison_dom\src\components\AlertForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 139, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16, 159
"c:\Users\Kozy\Documents\princecomparison_dom\src\components\Footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 68
"c:\Users\Kozy\Documents\princecomparison_dom\src\components\Header.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 151, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 174
"c:\Users\Kozy\Documents\princecomparison_dom\src\components\Layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 26
"c:\Users\Kozy\Documents\princecomparison_dom\src\components\PriceComparisonTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 139, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15, 157
"c:\Users\Kozy\Documents\princecomparison_dom\src\components\ProductCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13, 144
"c:\Users\Kozy\Documents\princecomparison_dom\src\components\ProtectedRoute.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 16
"c:\Users\Kozy\Documents\princecomparison_dom\src\components\SearchBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12, 131
"c:\Users\Kozy\Documents\princecomparison_dom\src\components\ThemeToggle.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\Kozy\Documents\princecomparison_dom\src\context\AlertContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14, 88
"c:\Users\Kozy\Documents\princecomparison_dom\src\context\AuthContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15, 137
"c:\Users\Kozy\Documents\princecomparison_dom\src\context\ProductContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 82
"c:\Users\Kozy\Documents\princecomparison_dom\src\context\ThemeContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 51
"c:\Users\Kozy\Documents\princecomparison_dom\src\data\mockData.ts", "TypeScript", 575, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 579
"c:\Users\Kozy\Documents\princecomparison_dom\src\index.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19, 86
"c:\Users\Kozy\Documents\princecomparison_dom\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25
"c:\Users\Kozy\Documents\princecomparison_dom\src\main\java\com\example\price_comparator\PriceComparatorApplication.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14
"c:\Users\Kozy\Documents\princecomparison_dom\src\main\resources\application.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Kozy\Documents\princecomparison_dom\src\pages\AlertsPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 126, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12, 140
"c:\Users\Kozy\Documents\princecomparison_dom\src\pages\HomePage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 296, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 23, 327
"c:\Users\Kozy\Documents\princecomparison_dom\src\pages\LoginPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 153, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14, 169
"c:\Users\Kozy\Documents\princecomparison_dom\src\pages\NotFoundPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 28
"c:\Users\Kozy\Documents\princecomparison_dom\src\pages\ProductPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 389, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 31, 428
"c:\Users\Kozy\Documents\princecomparison_dom\src\pages\ProfilePage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 425, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 33, 466
"c:\Users\Kozy\Documents\princecomparison_dom\src\pages\RegisterPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 202, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19, 223
"c:\Users\Kozy\Documents\princecomparison_dom\src\pages\SearchResultsPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 304, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 39, 344
"c:\Users\Kozy\Documents\princecomparison_dom\src\test\java\com\example\price_comparator\PriceComparatorApplicationTests.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14
"c:\Users\Kozy\Documents\princecomparison_dom\src\types\index.ts", "TypeScript", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 43
"c:\Users\Kozy\Documents\princecomparison_dom\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\Kozy\Documents\princecomparison_dom\tailwind.config.js", "JavaScript", 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 47
"c:\Users\Kozy\Documents\princecomparison_dom\tsconfig.app.json", "JSON", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 25
"c:\Users\Kozy\Documents\princecomparison_dom\tsconfig.json", "JSON with Comments", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\Kozy\Documents\princecomparison_dom\tsconfig.node.json", "JSON", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 23
